# line_name	wav
cii1335		1335.708
civ1548		1548.202
civ1549		1548.202
civ1551		1550.774
ciii1909	1906.683
ciii1908	1906.683
ciii1911	1908.734
cii2324		2324.21
oii3726		3727.1
oii3729		3729.86
neiii3869	3869.86
sii4069		4069.75
hgamma		4341.692
oiii4363	4364.435
hei4471		4472.735
hbeta 		4862.71
oiii4959	4960.295
oiii5007	5008.24
hei5016		5017.077
ariii5192	5193.27
ni5198		5201.705
nii5755		5756.19
hei5875		5877.249
oi6300		6302.046
siii6312	6313.81
nii6548		6549.86
halpha		6564.6
nii6584		6585.27
hei6678		6679.995
sii6717		6718.294
sii6731		6732.673
ariii7136	7137.77
oii7318		7321.00
oii7320		7321.94
ariii7751	7753.19
siii9068	9071.1
siii9532	9533.2
